image,background,version,variant,n_original,n_pasted,sky_px
img_000001.jpg,AIDER_flood_image0001.jpg,v4,0,0,18,0
img_000002.jpg,AIDER_flood_image0001.jpg,v4,1,0,30,0
img_000003.jpg,AIDER_flood_image0001.jpg,v4,2,0,23,0
img_000004.jpg,AIDER_flood_image0002.jpg,v4,0,0,30,0
img_000005.jpg,AIDER_flood_image0002.jpg,v4,1,0,30,0
img_000006.jpg,AIDER_flood_image0002.jpg,v4,2,0,30,0
img_000007.jpg,AIDER_flood_image0003.jpg,v4,0,0,30,8
img_000008.jpg,AIDER_flood_image0003.jpg,v4,1,0,24,8
img_000009.jpg,AIDER_flood_image0003.jpg,v4,2,0,30,8
img_000010.jpg,AIDER_flood_image0004.jpg,v4,0,0,30,17
img_000011.jpg,AIDER_flood_image0004.jpg,v4,1,0,19,17
img_000012.jpg,AIDER_flood_image0004.jpg,v4,2,0,30,17
img_000013.jpg,AIDER_flood_image0005.jpg,v4,0,0,22,0
img_000014.jpg,AIDER_flood_image0005.jpg,v4,1,0,30,0
img_000015.jpg,AIDER_flood_image0005.jpg,v4,2,0,25,0
img_000016.jpg,AIDER_flood_image0006.jpg,v4,0,0,30,0
img_000017.jpg,AIDER_flood_image0006.jpg,v4,1,0,21,0
img_000018.jpg,AIDER_flood_image0006.jpg,v4,2,0,30,0
img_000019.jpg,AIDER_flood_image0007.jpg,v4,0,0,30,0
img_000020.jpg,AIDER_flood_image0007.jpg,v4,1,0,30,0
img_000021.jpg,AIDER_flood_image0007.jpg,v4,2,0,30,0
img_000022.jpg,AIDER_flood_image0008.jpg,v4,0,0,30,0
img_000023.jpg,AIDER_flood_image0008.jpg,v4,1,0,30,0
img_000024.jpg,AIDER_flood_image0008.jpg,v4,2,0,30,0
img_000025.jpg,AIDER_flood_image0009.jpg,v4,0,0,25,0
img_000026.jpg,AIDER_flood_image0009.jpg,v4,1,0,30,0
img_000027.jpg,AIDER_flood_image0009.jpg,v4,2,0,19,0
img_000028.jpg,AIDER_flood_image0010.jpg,v4,0,0,23,16
img_000029.jpg,AIDER_flood_image0010.jpg,v4,1,0,30,16
img_000030.jpg,AIDER_flood_image0010.jpg,v4,2,0,30,16
img_000031.jpg,AIDER_flood_image0011.jpg,v4,0,0,30,166
img_000032.jpg,AIDER_flood_image0011.jpg,v4,1,0,30,166
img_000033.jpg,AIDER_flood_image0011.jpg,v4,2,0,30,166
img_000034.jpg,AIDER_flood_image0012.jpg,v4,0,0,18,13
img_000035.jpg,AIDER_flood_image0012.jpg,v4,1,0,23,13
img_000036.jpg,AIDER_flood_image0012.jpg,v4,2,0,27,13
img_000037.jpg,AIDER_flood_image0013.jpg,v4,0,0,30,0
img_000038.jpg,AIDER_flood_image0013.jpg,v4,1,0,30,0
img_000039.jpg,AIDER_flood_image0013.jpg,v4,2,0,30,0
img_000040.jpg,AIDER_flood_image0014.jpg,v4,0,0,17,8
img_000041.jpg,AIDER_flood_image0014.jpg,v4,1,0,30,8
img_000042.jpg,AIDER_flood_image0014.jpg,v4,2,0,30,8
img_000043.jpg,AIDER_flood_image0015.jpg,v4,0,0,30,0
img_000044.jpg,AIDER_flood_image0015.jpg,v4,1,0,23,0
img_000045.jpg,AIDER_flood_image0015.jpg,v4,2,0,23,0
